,insertion_sort,bubble_sort,selection_sort,comb_sort,enhanced_cocktail_sort,quicksort,input_control,param_1_length,quicksortRecursionError
718,2.0459864139556885,4.901221513748169,1.3570036888122559,0.028687000274658203,4.456676244735718,0.01399683952331543,random,8000,
719,4.009739637374878,1.982469081878662,1.3442778587341309,0.013330698013305664,0.0005109310150146484,1.4684765338897705,sorted,8000,1.0
720,0.013882875442504883,7.708384275436401,1.410714864730835,0.016849279403686523,7.820310592651367,0.8825037479400635,reverse,8000,1.0
721,2.1078507900238037,4.92572021484375,1.3368074893951416,0.02737116813659668,4.484082937240601,0.013839960098266602,random,8000,
722,4.020956754684448,1.9748809337615967,1.3590989112854004,0.013352394104003906,0.0005083084106445312,1.1908972263336182,sorted,8000,1.0
723,0.013750314712524414,7.575892925262451,1.408188819885254,0.016820669174194336,8.025951385498047,0.8887701034545898,reverse,8000,1.0
724,2.1169180870056152,4.9632487297058105,1.355198621749878,0.02642083168029785,4.534590482711792,0.01359868049621582,random,8000,
725,4.02030086517334,1.9676177501678467,1.341564655303955,0.013309955596923828,0.0005154609680175781,1.175384283065796,sorted,8000,1.0
726,0.013805150985717773,7.644565105438232,1.4091038703918457,0.01689910888671875,7.845392465591431,1.065039873123169,reverse,8000,1.0
727,2.013131618499756,5.071770906448364,1.397160530090332,0.026017189025878906,4.636762380599976,0.013905525207519531,random,8000,
728,4.014403343200684,1.9697628021240234,1.343935251235962,0.013334035873413086,0.0005176067352294922,1.1772172451019287,sorted,8000,1.0
729,0.013715505599975586,7.609076976776123,1.4081275463104248,0.01680302619934082,7.809715032577515,0.9306097030639648,reverse,8000,1.0
730,2.1831064224243164,5.256846189498901,1.3442516326904297,0.026997089385986328,4.574735641479492,0.014206647872924805,random,8000,
731,4.046438455581665,2.074991226196289,1.3885903358459473,0.013320446014404297,0.000507354736328125,1.1725609302520752,sorted,8000,1.0
732,0.013719320297241211,7.609477996826172,1.4100532531738281,0.016876935958862305,7.8470799922943115,0.8755207061767578,reverse,8000,1.0
733,1.9796550273895264,4.965742826461792,1.3362796306610107,0.026282787322998047,4.548158645629883,0.014482259750366211,random,8000,
734,4.010861873626709,1.9676156044006348,1.3454725742340088,0.013347148895263672,0.0005085468292236328,1.1694517135620117,sorted,8000,1.0
735,0.013756752014160156,7.595048189163208,1.409101963043213,0.016843557357788086,7.819084167480469,0.8513963222503662,reverse,8000,1.0
736,1.9720988273620605,5.105176210403442,1.3990671634674072,0.028238773345947266,4.68510627746582,0.013903379440307617,random,8000,
737,4.022351503372192,1.9726197719573975,1.3525009155273438,0.0133514404296875,0.0005080699920654297,1.2142627239227295,sorted,8000,1.0
738,0.013744831085205078,7.596677541732788,1.4578485488891602,0.017310619354248047,7.838582992553711,0.9534659385681152,reverse,8000,1.0
739,2.0176703929901123,4.930480718612671,1.3610541820526123,0.027640342712402344,4.503145694732666,0.014236927032470703,random,8000,
740,4.034273862838745,1.9711081981658936,1.3672425746917725,0.013305425643920898,0.0005080699920654297,1.2700347900390625,sorted,8000,1.0
741,0.013738632202148438,7.638188600540161,1.406463623046875,0.016885995864868164,7.823009490966797,0.8545181751251221,reverse,8000,1.0
742,2.135772466659546,4.924360990524292,1.3380482196807861,0.026798725128173828,4.505896329879761,0.014022111892700195,random,8000,
743,4.0195159912109375,1.9661204814910889,1.3421740531921387,0.013412714004516602,0.0005106925964355469,1.2270286083221436,sorted,8000,1.0
744,0.013743162155151367,7.60763955116272,1.4527227878570557,0.0172579288482666,7.820050239562988,0.8528313636779785,reverse,8000,1.0
745,2.1479742527008057,5.046979665756226,1.349158525466919,0.026813030242919922,4.570150852203369,0.013751029968261719,random,8000,
746,4.023131847381592,1.9852473735809326,1.3949089050292969,0.013577938079833984,0.0005099773406982422,1.2779591083526611,sorted,8000,1.0
747,0.013718128204345703,7.622819423675537,1.4113221168518066,0.016801118850708008,7.83662748336792,0.8556160926818848,reverse,8000,1.0
748,1.9899706840515137,4.952511310577393,1.3396759033203125,0.026914596557617188,4.576591730117798,0.014008045196533203,random,8000,
749,4.03125786781311,1.973876714706421,1.3470077514648438,0.01332855224609375,0.0005066394805908203,1.2058651447296143,sorted,8000,1.0
750,0.013708114624023438,7.632936954498291,1.411278247833252,0.016893386840820312,7.820210933685303,0.9410891532897949,reverse,8000,1.0
751,2.112435817718506,4.931005001068115,1.337266445159912,0.026811599731445312,4.5079686641693115,0.013669490814208984,random,8000,
752,4.014946222305298,1.9671525955200195,1.3450579643249512,0.013339519500732422,0.0005075931549072266,1.214522123336792,sorted,8000,1.0
753,0.013752460479736328,7.9138407707214355,1.460592269897461,0.01772761344909668,8.130392789840698,0.834686279296875,reverse,8000,1.0
754,2.1126444339752197,4.925307512283325,1.3398475646972656,0.026779890060424805,4.485064506530762,0.013926506042480469,random,8000,
755,4.014835834503174,1.9737682342529297,1.3522865772247314,0.013328075408935547,0.0005097389221191406,1.1970481872558594,sorted,8000,1.0
756,0.0137786865234375,7.622224807739258,1.4484405517578125,0.01729893684387207,7.816538572311401,0.8356432914733887,reverse,8000,1.0
757,2.0009989738464355,4.941754341125488,1.3364999294281006,0.026784896850585938,4.52303671836853,0.013943195343017578,random,8000,
