,linear_sorted,binary_sorted,jump_sorted,found,param_1_length,param_2_value
483,0.0001938343048095703,2.86102294921875e-06,1.5020370483398438e-05,False,5000,84953
484,0.00011849403381347656,2.384185791015625e-06,1.0728836059570312e-05,True,5000,49450
485,0.0002224445343017578,3.0994415283203125e-06,1.5735626220703125e-05,False,5000,93360
486,0.00013136863708496094,2.86102294921875e-06,1.239776611328125e-05,True,5000,56628
487,0.00012493133544921875,2.6226043701171875e-06,9.775161743164062e-06,False,5000,49968
488,6.842613220214844e-05,2.86102294921875e-06,9.059906005859375e-06,True,5000,28371
489,0.0002167224884033203,2.86102294921875e-06,1.7404556274414062e-05,False,5000,91903
490,9.5367431640625e-06,2.86102294921875e-06,5.245208740234375e-06,True,5000,4011
491,0.00016880035400390625,2.86102294921875e-06,1.33514404296875e-05,False,5000,72012
492,5.364418029785156e-05,2.86102294921875e-06,8.106231689453125e-06,True,5000,22398
493,2.1696090698242188e-05,3.5762786865234375e-06,5.0067901611328125e-06,False,5000,8551
494,0.00012946128845214844,3.0994415283203125e-06,1.0967254638671875e-05,True,5000,55705
495,0.00010633468627929688,2.6226043701171875e-06,1.1205673217773438e-05,False,5000,45669
496,1.3828277587890625e-05,2.86102294921875e-06,4.0531158447265625e-06,True,5000,6178
497,0.00015306472778320312,3.337860107421875e-06,1.2159347534179688e-05,False,5000,63207
498,0.00015616416931152344,3.814697265625e-06,1.2874603271484375e-05,True,5000,67586
499,1.430511474609375e-05,2.86102294921875e-06,4.0531158447265625e-06,False,5000,6270
500,0.0001933574676513672,4.0531158447265625e-06,1.4543533325195312e-05,True,6000,69799
501,0.00026607513427734375,3.337860107421875e-06,1.8596649169921875e-05,False,6000,95739
502,0.00010180473327636719,2.86102294921875e-06,1.0967254638671875e-05,True,6000,35556
503,0.00020956993103027344,2.86102294921875e-06,1.621246337890625e-05,False,6000,75329
504,9.894371032714844e-05,3.337860107421875e-06,1.0728836059570312e-05,True,6000,34255
505,0.0002505779266357422,3.5762786865234375e-06,1.8596649169921875e-05,False,6000,87958
506,0.0002810955047607422,3.0994415283203125e-06,1.71661376953125e-05,True,6000,79845
507,5.698204040527344e-05,3.337860107421875e-06,6.9141387939453125e-06,False,6000,19065
508,0.00014495849609375,2.86102294921875e-06,1.1682510375976562e-05,True,6000,49114
509,0.00015354156494140625,3.0994415283203125e-06,1.2874603271484375e-05,False,6000,55501
510,0.00017499923706054688,3.0994415283203125e-06,1.4781951904296875e-05,True,6000,62576
511,0.00010156631469726562,3.0994415283203125e-06,9.775161743164062e-06,False,6000,34931
512,0.0002830028533935547,3.0994415283203125e-06,2.0742416381835938e-05,True,6000,99041
513,9.846687316894531e-05,3.0994415283203125e-06,8.106231689453125e-06,False,6000,33904
